Unnamed: 0,protein1,protein2,prediction,label
470,9606.ENSP00000363322,9606.ENSP00000296509,0.9999999999999992,1.0
471,9606.ENSP00000363322,9606.ENSP00000400894,0.9999396212667164,1.0
472,9606.ENSP00000363322,9606.ENSP00000209728,0.9999999999999865,1.0
473,9606.ENSP00000363322,9606.ENSP00000287598,0.9999999999999998,1.0
474,9606.ENSP00000363322,9606.ENSP00000482063,0.9999999836722686,1.0
475,9606.ENSP00000363322,9606.ENSP00000348554,0.999999999895632,1.0
476,9606.ENSP00000363322,9606.ENSP00000256442,1.0,1.0
477,9606.ENSP00000363322,9606.ENSP00000261819,0.9999999992910024,1.0
478,9606.ENSP00000363322,9606.ENSP00000361540,1.0,1.0
479,9606.ENSP00000490666,9606.ENSP00000339145,1.2477269813539076e-06,0.0
480,9606.ENSP00000330391,9606.ENSP00000317895,0.2168858699524485,1.0
481,9606.ENSP00000330391,9606.ENSP00000357789,0.3028662506588276,1.0
541,9606.ENSP00000379911,9606.ENSP00000309790,0.9999999674510428,1.0
542,9606.ENSP00000379911,9606.ENSP00000335463,0.9999999999882364,1.0
543,9606.ENSP00000379911,9606.ENSP00000271452,1.0,1.0
544,9606.ENSP00000379911,9606.ENSP00000263181,0.9999999999999148,1.0
545,9606.ENSP00000379911,9606.ENSP00000414109,0.9999999999999992,1.0
546,9606.ENSP00000379911,9606.ENSP00000489236,1.0,1.0
547,9606.ENSP00000379911,9606.ENSP00000370214,0.9999998711251272,1.0
548,9606.ENSP00000379911,9606.ENSP00000361540,1.0,1.0
553,9606.ENSP00000474096,9606.ENSP00000314810,0.0219355953054346,0.0
554,9606.ENSP00000474096,9606.ENSP00000301788,0.9999999999996688,1.0
555,9606.ENSP00000474096,9606.ENSP00000416959,0.999999998543838,1.0
556,9606.ENSP00000474096,9606.ENSP00000472998,0.999999999999744,1.0
557,9606.ENSP00000474096,9606.ENSP00000340271,0.999999999711192,1.0
558,9606.ENSP00000474096,9606.ENSP00000451291,0.999999999999738,1.0
559,9606.ENSP00000474096,9606.ENSP00000325376,0.999999999053126,1.0
560,9606.ENSP00000474096,9606.ENSP00000252996,0.9999999999999968,1.0
561,9606.ENSP00000474096,9606.ENSP00000311747,0.999999869495394,1.0
571,9606.ENSP00000337500,9606.ENSP00000233630,0.9999999023373476,1.0
572,9606.ENSP00000337500,9606.ENSP00000251900,0.9999999677569036,1.0
573,9606.ENSP00000337500,9606.ENSP00000365042,0.9999803369761414,1.0
574,9606.ENSP00000337500,9606.ENSP00000217244,0.9999999997864366,1.0
575,9606.ENSP00000337500,9606.ENSP00000381840,0.9999998324057612,1.0
576,9606.ENSP00000337500,9606.ENSP00000482063,0.999999998506953,1.0
